Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
2;1000002;2НДФЛ;Ремонт;0;0.45;мужской;0;0;высшее;менеджер среднего звена;>250;3;42;27;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1000022;;Ремонт;0;;женский;0;0;Высшее/Второе высшее/Ученая степень;другое;;0;14;27;Финансы;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1000042;2НДФЛ;Ремонт;1;0.16;мужской;0;0;Высшее/Второе высшее/Ученая степень;специалист;>250;0;26;31;Другое;Государственное предприятие;женат / замужем;1;1;1;1;1;0;0;0;0;0;0;0;1;5;1;0;0;33;33;0;0;0;0;0;0;0
2;1000062;Поступление зарплаты на счет;Покупка автомобиля;0;0.22;женский;0;0;высшее;специалист;>250;1;6;26;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1000082;2НДФЛ;Покупка автомобиля;1;0.34;мужской;0;0;высшее;вспомогательный персонал;>250;1;10;54;Транспорт;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1000102;Поступление зарплаты на счет;Другое;1;0.54;женский;0;0;среднее;вспомогательный персонал;>250;1;14;27;Торговля;ООО;гражданский брак;1;0;0;0;0;0.0285714286;0;0;0;0;1;3;0;34;3;1;0;10;12;1;0;0;0;0;0;0
2;1000122;2НДФЛ;Ремонт;0;0.26;женский;0;0;Высшее/Второе высшее/Ученая степень;менеджер среднего звена;>250;0;19;32;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;1000142;Поступление зарплаты на счет;Ремонт;1;0.4;мужской;0;0;высшее;менеджер среднего звена;>250;0;42;34;Информационные технологии;ЗАО;холост / не замужем;0;0;0;0;0;0.474137931;1;0;0;0;0;0;4;61;4;0;0;80;86;1;1;1;1;0;0;0
2;1000162;Поступление зарплаты на счет;Покупка бытовой техники;1;0.07;мужской;3;0;высшее;специалист;>250;0;25;34;Другое;ЗАО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0;0;3;23;3;0;2;9;80;0;0;0;0;0;0;0
2;1000182;Форма банка (без печати работодателя);Ремонт;1;0.59;мужской;0;0;незаконченное высшее;специалист;>250;0;104;46;Торговля;ООО;женат / замужем;1;0;0;0;0;0.229281768;1;0;0;0;0.3888888889;8;10;279;18;3;1;11;98;1;1;1;1;0;0;0
